 ,Area,Mean,Min,Max
1,2.176,255,255,255
2,2.598,255,255,255
3,2.867,255,255,255
4,2.267,255,255,255
5,2.334,255,255,255
6,2.852,255,255,255
7,2.335,255,255,255
8,2.429,255,255,255
9,2.541,255,255,255
10,2.157,255,255,255
11,2.315,255,255,255
12,1.930,255,255,255
13,1.480,255,255,255
14,2.149,255,255,255
15,1.665,255,255,255
16,1.708,255,255,255
17,1.078,255,255,255
18,1.886,255,255,255
19,2.521,255,255,255
20,1.860,255,255,255
21,2.667,255,255,255
22,1.893,255,255,255
23,2.447,255,255,255
24,1.733,255,255,255
25,2.048,255,255,255
26,1.371,255,255,255
27,2.928,255,255,255
28,1.690,255,255,255
29,3.968,255,255,255
30,0.643,255,255,255
31,1.490,255,255,255
32,1.818,255,255,255
33,2.232,255,255,255
34,2.439,255,255,255
35,2.386,255,255,255
36,2.155,255,255,255
37,1.755,255,255,255
38,1.923,255,255,255
39,1.468,255,255,255
40,1.782,255,255,255
41,1.577,255,255,255
42,1.515,255,255,255
43,1.178,255,255,255
44,2.592,255,255,255
45,2.562,255,255,255
46,0.960,255,255,255
47,0.819,255,255,255
48,2.483,255,255,255
49,1.327,255,255,255
50,2.605,255,255,255
51,0.505,255,255,255
52,1.531,255,255,255
53,2.631,255,255,255
54,3.507,255,255,255
55,1.200,255,255,255
56,1.769,255,255,255
57,2.521,255,255,255
58,1.696,255,255,255
59,2.698,255,255,255
60,1.615,255,255,255
61,2.932,255,255,255
62,1.773,255,255,255
63,1.639,255,255,255
64,1.449,255,255,255
65,1.652,255,255,255
66,2.811,255,255,255
67,2.539,255,255,255
68,1.349,255,255,255
69,2.399,255,255,255
70,2.317,255,255,255
71,2.162,255,255,255
72,2.851,255,255,255
73,1.444,255,255,255
74,2.396,255,255,255
75,2.875,255,255,255
76,2.513,255,255,255
77,2.230,255,255,255
78,2.037,255,255,255
79,1.288,255,255,255
80,1.144,255,255,255
81,2.322,255,255,255
82,1.630,255,255,255
83,1.278,255,255,255
84,1.856,255,255,255
85,2.814,255,255,255
86,2.788,255,255,255
87,1.835,255,255,255
88,1.496,255,255,255
